route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url
1816,HSL,816,Vuosaari(M)-Kallahti-Kallahdenniemi,,704,http://aikataulut.hsl.fi/linjat/fi/b816.html
1817,HSL,817,Vuosaari(M)-Kallahti-Ramsinniemi,,704,http://aikataulut.hsl.fi/linjat/fi/b817.html
1818,HSL,818,Vuosaari (M)-Vuosaaren satama-Mellunmäki (M),,701,http://aikataulut.hsl.fi/linjat/fi/b818.html
1831,HSL,831,Itäkeskus(M)-Östersundom-Landbo,,701,http://aikataulut.hsl.fi/linjat/fi/b831.html
1831K,HSL,831K,Itäkeskus(M)-Östersundom-Karhusaari-Landbo,,701,http://aikataulut.hsl.fi/linjat/fi/b831K.html
1839,HSL,839,Rapuojantie-Östersundom-Puroniitty,,701,http://aikataulut.hsl.fi/linjat/fi/b839.html
1839K,HSL,839K,Rapuojantie-Östersundom-Puroniitty,,701,http://aikataulut.hsl.fi/linjat/fi/b839K.html
2015,HSL,15,Itäkeskus (M)-Keilaniemi (M),,900,http://aikataulut.hsl.fi/linjat/fi/e15.html
2015X,HSL,15X,Itäkeskus(M)-Viikki-Oulunkylä,,701,http://aikataulut.hsl.fi/linjat/fi/e15X.html
2102N,HSL,102N,Kamppi-Lauttasaari(M)-Westend-Tapiola(M)-Teekkarikylä,,701,http://aikataulut.hsl.fi/linjat/fi/b102N.html
2105,HSL,105,Lauttasaari(M)-Westend-Haukilahti-Mankkaa,,701,http://aikataulut.hsl.fi/linjat/fi/b105.html
2108N,HSL,108N,Kamppi-Teekkarikylä-Tapiola(M)-Westendinasema,,701,http://aikataulut.hsl.fi/linjat/fi/b108N.html
2111,HSL,111,Otaniemi-Tapiola (M)-Westend-Matinkylä (M),,701,http://aikataulut.hsl.fi/linjat/fi/b111.html
2112N,HSL,112N,Kamppi-Lauttasaari (M)-Westend-Matinkylä(M)-Friisilä,,701,http://aikataulut.hsl.fi/linjat/fi/b112N.html
2113,HSL,113,Tapiola (M)-Laajalahti-Leppävaara,,701,http://aikataulut.hsl.fi/linjat/fi/b113.html
2113N,HSL,113N,Kamppi-Tapiola (M)-Laajalahti-Perkkaa-Leppävaara,,701,http://aikataulut.hsl.fi/linjat/fi/b113N.html
2114,HSL,114,Matinkylä (M)-Urheilupuisto (M)-Mankkaa-Kilo-Leppävaara,,701,http://aikataulut.hsl.fi/linjat/fi/b114.html
2114N,HSL,114N,Kamppi-Leppävaara,,701,http://aikataulut.hsl.fi/linjat/fi/b114N.html
2116,HSL,116,Tapiola-Pohjois-Tapiola,,704,http://aikataulut.hsl.fi/linjat/fi/b116.html
2117,HSL,117,Tapiola-Aarnivalkea-Itäranta-Tapiola,,704,http://aikataulut.hsl.fi/linjat/fi/b117.html
2118,HSL,118,Tapiola (M)-Urheilupuisto (M)-Suurpelto-Espoon keskus,,701,http://aikataulut.hsl.fi/linjat/fi/b118.html
2118N,HSL,118N,Kamppi-Tapiola (M)-Suurpelto-Kauniainen-Jorvi,,701,http://aikataulut.hsl.fi/linjat/fi/b118N.html
2119,HSL,119,Tapiola-Niittykumpu,,704,http://aikataulut.hsl.fi/linjat/fi/b119.html
2121,HSL,121,Kamppi-Olari,,701,http://aikataulut.hsl.fi/linjat/fi/b121.html
